City,SaleDate,Price,PricePerSqFt,Acres,Yr,Area,TBr,Bathrooms
DES MOINES,11/18/2009,31890,26.53,0.351,1900,1202,4,2
DES MOINES,06/28/1990,49800,34.58,0.242,1900,1440,4,1
DES MOINES,06/26/2003,65000,95.31,0.389,1890,682,1,1
DES MOINES,04/12/2004,69900,102.49,0.389,1890,682,1,1
DES MOINES,08/02/2001,69900,102.49,0.389,1890,682,1,1
DES MOINES,09/01/2000,62500,91.64,0.389,1890,682,1,1
DES MOINES,04/01/1998,66000,96.77,0.389,1890,682,3,1
DES MOINES,01/19/1998,18000,26.39,0.389,1890,682,3,1
DES MOINES,10/14/2001,79900,87.61,0.274,1954,912,3,2
DES MOINES,05/20/1996,68000,74.56,0.274,1954,912,3,2
DES MOINES,06/11/2006,98370,107.86,0.274,1954,912,3,2
DES MOINES,10/10/1995,80000,71.43,0.216,1954,1120,5,2
DES MOINES,11/12/2012,63000,39.62,0.202,1914,1590,4,2
DES MOINES,06/27/1991,48500,33.82,0.184,1900,1434,3,2
DES MOINES,05/20/1992,64000,44.63,0.184,1900,1434,3,2
DES MOINES,08/29/1990,300,0.23,0.184,1900,1330,3,2
DES MOINES,07/19/2006,99900,69.67,0.184,1900,1434,3,2
DES MOINES,07/08/1993,57000,38.33,0.467,1909,1487,2,1
DES MOINES,01/20/2000,91500,61.53,0.467,1909,1487,2,1
DES MOINES,01/29/1988,9500,,,,,,0
DES MOINES,11/27/1998,34000,36.06,0.149,1907,943,2,1
DES MOINES,06/01/2012,11460,7.37,0.224,1904,1556,3,1
DES MOINES,07/24/2012,20000,12.85,0.224,1904,1556,3,1
DES MOINES,05/01/1991,20000,34.72,0.119,1918,576,1,1
DES MOINES,11/21/2007,17000,29.51,0.119,1918,576,1,1
DES MOINES,07/25/2000,29900,69.21,0.119,1918,432,2,1
DES MOINES,05/23/2001,15000,34.72,0.119,1918,432,2,1
DES MOINES,04/11/2002,15000,34.72,0.119,1918,432,2,1
DES MOINES,07/24/2008,32500,49.54,0.119,1918,656,2,1
DES MOINES,02/20/2001,29000,67.13,0.119,1918,432,2,1
DES MOINES,10/15/2001,15000,34.72,0.119,1918,432,2,1
DES MOINES,11/17/1998,9000,20.83,0.119,1918,432,2,1
DES MOINES,07/19/1991,18000,41.67,0.119,1918,432,2,1
DES MOINES,04/22/2002,57000,64.7,0.127,1900,881,4,1
DES MOINES,03/05/1998,40000,45.4,0.127,1900,881,4,1
DES MOINES,04/21/1999,28000,31.78,0.127,1900,881,4,1
DES MOINES,10/15/1999,48000,54.48,0.127,1900,881,4,1
DES MOINES,03/08/1991,20000,22.7,0.127,1900,881,4,1
DES MOINES,08/28/1992,26000,29.51,0.127,1900,881,4,1
DES MOINES,01/27/1987,35000,26.44,0.17,1915,1324,4,1
DES MOINES,07/26/1995,75000,46.41,0.152,1897,1616,2,1
DES MOINES,06/13/1990,15000,11.61,0.152,1895,1292,2,2
DES MOINES,12/02/2000,53000,33.91,0.127,1912,1563,3,1
DES MOINES,10/25/2011,27260,21.77,0.173,1903,1252,3,1
DES MOINES,09/24/1989,25000,16.76,0.173,1903,1492,3,1
DES MOINES,04/13/2004,94850,63.57,0.173,1903,1492,3,1
DES MOINES,02/28/1989,29000,19.44,0.173,1903,1492,3,1
DES MOINES,10/09/2002,94500,62.71,0.155,1910,1507,4,1
DES MOINES,12/22/2006,44000,33.41,0.155,1910,1317,4,1
DES MOINES,09/14/2012,2000,1.52,0.155,1910,1317,4,1
DES MOINES,02/28/1995,54900,36.43,0.155,1910,1507,4,1
DES MOINES,01/09/1995,37500,24.88,0.155,1910,1507,4,1
DES MOINES,02/22/2010,133000,93.79,0.262,1955,1418,3,1
DES MOINES,07/31/2008,92000,79.04,0.287,1916,1164,3,1
DES MOINES,11/26/2007,49900,42.87,0.287,1916,1164,3,1
DES MOINES,03/08/1999,95000,55.78,0.574,1928,1703,3,1
DES MOINES,01/07/2004,132500,77.8,0.574,1928,1703,3,1
DES MOINES,09/15/1987,48500,28.7,0.43,1926,1690,4,2
DES MOINES,07/28/1987,46260,29.35,0.403,1916,1576,3,2
DES MOINES,09/15/1997,68000,43.15,0.403,1916,1576,3,2
DES MOINES,02/21/1990,46500,29.51,0.403,1916,1576,3,2
DES MOINES,05/24/1990,44210,28.05,0.403,1916,1576,3,2
DES MOINES,03/28/2002,93900,59.58,0.403,1916,1576,3,2
DES MOINES,03/06/1994,47500,41.23,0.449,1964,1152,3,1
DES MOINES,05/17/2010,32610,22.95,0.289,1903,1421,4,2
DES MOINES,01/30/1996,54000,38,0.289,1903,1421,,1
DES MOINES,06/24/2010,83500,77.31,0.249,1954,1080,3,1
DES MOINES,02/25/2010,101000,97.12,0.135,1954,1040,3,2
DES MOINES,04/16/1997,57450,55.24,0.135,1954,1040,3,2
DES MOINES,10/24/2007,73000,70.19,0.135,1954,1040,3,2
DES MOINES,09/26/1987,39900,38.37,0.135,1954,1040,3,2
DES MOINES,08/24/2004,72000,69.23,0.135,1954,1040,3,2
DES MOINES,09/05/2007,117000,112.5,0.135,1954,1040,3,1
DES MOINES,12/10/2002,89500,86.06,0.135,1954,1040,3,1
DES MOINES,05/22/2007,74000,71.15,0.135,1954,1040,3,1
DES MOINES,07/21/2004,113180,108.83,0.135,1954,1040,3,1
DES MOINES,04/12/2004,88000,75.86,0.153,1900,1160,3,1
DES MOINES,06/29/1999,50000,43.1,0.153,1900,1160,3,1
DES MOINES,04/02/2003,35500,30.6,0.153,1900,1160,3,1
DES MOINES,04/20/2001,106900,103.38,0.145,2000,1034,3,1
DES MOINES,08/04/1999,4000,,0.145,,,,0
DES MOINES,04/17/2006,93900,83.69,0.145,1913,1122,3,1
DES MOINES,06/01/2012,37100,33.07,0.145,1913,1122,3,1
DES MOINES,04/04/2007,78900,51.03,0.303,1951,1546,3,1
DES MOINES,08/09/2013,50000,32.34,0.303,1951,1546,3,1
DES MOINES,01/23/2008,135000,87.32,0.303,1951,1546,3,1
DES MOINES,06/09/1993,53500,34.61,0.303,1951,1546,3,1
DES MOINES,06/02/1996,63500,41.07,0.303,1951,1546,3,1
DES MOINES,05/23/2012,67000,76.48,0.165,1958,876,3,2
DES MOINES,08/31/2000,89000,92.61,0.179,1958,961,2,1
DES MOINES,02/16/1990,38000,39.54,0.179,1958,961,2,1
DES MOINES,01/16/2006,108150,112.54,0.179,1958,961,2,1
DES MOINES,08/14/1991,27500,29.63,,1923,928,2,1
DES MOINES,04/21/1997,58500,63.04,0.213,1923,928,2,1
DES MOINES,09/28/1999,54000,58.19,0.213,1923,928,2,1
DES MOINES,08/31/2000,69900,75.32,0.213,1923,928,2,1
DES MOINES,11/01/1996,23000,24.78,0.213,1923,928,2,1
DES MOINES,03/01/2001,69900,75.32,0.213,1923,928,2,1
DES MOINES,10/09/1996,30500,24.07,0.2,1912,1267,2,2
DES MOINES,03/02/2001,40000,31.57,0.2,1912,1267,2,2
DES MOINES,06/01/1999,16000,9.59,0.151,1924,1668,4,2
DES MOINES,08/19/2014,40000,23.98,0.157,1924,1668,4,2
DES MOINES,07/27/2005,87000,43.59,0.231,1916,1996,,3
DES MOINES,07/11/1992,38000,19.04,0.231,1916,1996,,3
DES MOINES,11/30/1989,10000,7.72,0.231,1916,1296,4,1
DES MOINES,09/26/1994,50000,38.58,0.231,1916,1296,3,1
DES MOINES,09/11/1990,42500,32.79,0.231,1916,1296,4,1
DES MOINES,01/02/1992,34500,26.62,0.231,1916,1296,3,1
DES MOINES,02/01/2010,92500,71.37,0.231,1916,1296,3,1
DES MOINES,07/03/1998,64500,49.77,0.231,1916,1296,3,1
DES MOINES,10/16/2013,89000,68.67,0.231,1916,1296,3,1
